#,,,,,,,,
agency_cd,site_no,datetime,timezone,Gage Height [ft],Discharge [cfs],Temperature [degrees C],Turbidity [FNU],Flooding
USGS,14206950,11/1/2015 0:00,PDT,6.34,511,14.4,77.1,0
USGS,14206950,11/1/2015 0:15,PDT,6.36,514,,,0
USGS,14206950,11/1/2015 0:30,PDT,6.32,508,,,0
USGS,14206950,11/1/2015 0:45,PDT,6.31,506,,,0
USGS,14206950,11/1/2015 1:00,PDT,6.33,509,14.4,72.6,0
USGS,14206950,11/1/2015 1:00,PST,6.36,514,14.3,61,0
USGS,14206950,11/1/2015 1:15,PDT,6.33,509,,,0
USGS,14206950,11/1/2015 1:15,PST,6.38,518,,,0
USGS,14206950,11/1/2015 1:30,PDT,6.33,509,,,0
USGS,14206950,11/1/2015 1:30,PST,6.36,514,,,0
USGS,14206950,11/1/2015 1:45,PDT,6.35,513,,,0
USGS,14206950,11/1/2015 1:45,PST,6.37,516,,,0
USGS,14206950,11/1/2015 2:00,PST,6.39,519,14.2,54.4,0
USGS,14206950,11/1/2015 2:15,PST,6.43,526,,,0
USGS,14206950,11/1/2015 2:30,PST,6.39,519,,,0
USGS,14206950,11/1/2015 2:45,PST,6.42,524,,,0
USGS,14206950,11/1/2015 3:00,PST,6.43,526,14.2,44,0
USGS,14206950,11/1/2015 3:15,PST,6.4,521,,,0
USGS,14206950,11/1/2015 3:30,PST,6.4,521,,,0
USGS,14206950,11/1/2015 3:45,PST,6.42,524,,,0
USGS,14206950,11/1/2015 4:00,PST,6.47,533,14.1,40.8,0
USGS,14206950,11/1/2015 4:15,PST,6.44,528,,,0
USGS,14206950,11/1/2015 4:30,PST,6.4,521,,,0
USGS,14206950,11/1/2015 4:45,PST,6.4,521,,,0
USGS,14206950,11/1/2015 5:00,PST,6.36,514,14,40.8,0
USGS,14206950,11/1/2015 5:15,PST,6.35,513,,,0
USGS,14206950,11/1/2015 5:30,PST,6.31,506,,,0
USGS,14206950,11/1/2015 5:45,PST,6.27,499,,,0
USGS,14206950,11/1/2015 6:00,PST,6.26,498,14,45.4,0
USGS,14206950,11/1/2015 6:15,PST,6.26,498,,,0
USGS,14206950,11/1/2015 6:30,PST,6.19,486,,,0
USGS,14206950,11/1/2015 6:45,PST,6.14,478,,,0
USGS,14206950,11/1/2015 7:00,PST,6.11,474,13.9,52.6,0
USGS,14206950,11/1/2015 7:15,PST,6.06,466,,,0
USGS,14206950,11/1/2015 7:30,PST,6.02,459,,,0
USGS,14206950,11/1/2015 7:45,PST,5.97,451,,,0
USGS,14206950,11/1/2015 8:00,PST,5.93,445,13.9,52.5,0
USGS,14206950,11/1/2015 8:15,PST,5.9,440,,,0
USGS,14206950,11/1/2015 8:30,PST,5.83,429,,,0
USGS,14206950,11/1/2015 8:45,PST,5.77,420,,,0
USGS,14206950,11/1/2015 9:00,PST,5.75,417,13.8,51.4,0
USGS,14206950,11/1/2015 9:15,PST,5.71,411,,,0
USGS,14206950,11/1/2015 9:30,PST,5.69,408,,,0
USGS,14206950,11/1/2015 9:45,PST,5.63,399,,,0
USGS,14206950,11/1/2015 10:00,PST,5.59,393,13.8,54.7,0
USGS,14206950,11/1/2015 10:15,PST,5.55,387,,,0
USGS,14206950,11/1/2015 10:30,PST,5.51,381,,,0
USGS,14206950,11/1/2015 10:45,PST,5.47,375,,,0
USGS,14206950,11/1/2015 11:00,PST,5.41,366,13.7,44.9,0
USGS,14206950,11/1/2015 11:15,PST,5.37,360,,,0
USGS,14206950,11/1/2015 11:30,PST,5.31,352,,,0
USGS,14206950,11/1/2015 11:45,PST,5.26,344,,,0
USGS,14206950,11/1/2015 12:00,PST,5.2,336,13.7,44.1,0
USGS,14206950,11/1/2015 12:15,PST,5.16,330,,,0
USGS,14206950,11/1/2015 12:30,PST,5.05,315,,,0
USGS,14206950,11/1/2015 12:45,PST,4.99,308,,,0
USGS,14206950,11/1/2015 13:00,PST,4.92,298,13.8,41.7,0
USGS,14206950,11/1/2015 13:15,PST,4.84,287,,,0
USGS,14206950,11/1/2015 13:30,PST,4.78,279,,,0
USGS,14206950,11/1/2015 13:45,PST,4.68,266,,,0
USGS,14206950,11/1/2015 14:00,PST,4.58,252,13.8,38.1,0
USGS,14206950,11/1/2015 14:15,PST,4.53,246,,,0
USGS,14206950,11/1/2015 14:30,PST,4.45,237,,,0
USGS,14206950,11/1/2015 14:45,PST,4.38,228,,,0
USGS,14206950,11/1/2015 15:00,PST,4.3,218,13.8,37,0
USGS,14206950,11/1/2015 15:15,PST,4.23,209,,,0
USGS,14206950,11/1/2015 15:30,PST,4.18,202,,,0
USGS,14206950,11/1/2015 15:45,PST,4.12,195,,,0
USGS,14206950,11/1/2015 16:00,PST,4.03,184,13.8,35.3,0
USGS,14206950,11/1/2015 16:15,PST,3.98,178,,,0
USGS,14206950,11/1/2015 16:30,PST,3.92,170,,,0
USGS,14206950,11/1/2015 16:45,PST,3.87,166,,,0
USGS,14206950,11/1/2015 17:00,PST,3.81,158,13.8,34.8,0
USGS,14206950,11/1/2015 17:15,PST,3.76,152,,,0
USGS,14206950,11/1/2015 17:30,PST,3.75,151,,,0
USGS,14206950,11/1/2015 17:45,PST,3.69,144,,,0
USGS,14206950,11/1/2015 18:00,PST,3.62,136,13.8,32.1,0
USGS,14206950,11/1/2015 18:15,PST,3.57,131,,,0
USGS,14206950,11/1/2015 18:30,PST,3.52,125,,,0
USGS,14206950,11/1/2015 18:45,PST,3.47,120,,,0
USGS,14206950,11/1/2015 19:00,PST,3.43,116,13.8,29.9,0
